Company,Skill
Logicmonitor,"Application Support, Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, System Administration"
Lowe's India,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Supply Chain Technology, Web Development"
Mastercard,"Artificial Intelligence & Machine Learning, Blockchain, Cloud Computing, Database Management, Financial Acumen, Programming Languages (Java Python C++ JavaScript)"
McKinley & Rice,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, Version Control, Web Development"
Media.net,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Digital Marketing, Web Development"
Mediaocean,"Artificial Intelligence & Machine Learning, CRM Systems, Data Analytics, Marketing, Problem-Solving, Web Development"
Medly Pharmacy,"Cloud Computing, Communication, Database Management, Healthcare Domain Knowledge, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
Merilytics,"Adaptability, Artificial Intelligence & Machine Learning, Communication, Critical Thinking, Data Analytics, Database Management"
MetaMorphoSys,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development"
Metro-GSC,"Adaptability, Communication, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration"
Microsoft,"Adaptability, Cloud Computing, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development, Teamwork & Collaboration, data analysis"
Miko,"Artificial Intelligence & Machine Learning, Communication, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Robotics, Software Development"
Mindstix,"Artificial Intelligence & Machine Learning, Cloud Computing, Problem-Solving, Software Development, Testing, Web Development"
Mindstix Software Labs,"Artificial Intelligence & Machine Learning, Cloud Computing, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Mindtree,"App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), System Design & Scalability, Teamwork & Collaboration, Testing, UI/UX, Web Development"
Mini Orange,"Cloud Computing, Cybersecurity, Database Management, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Mobikasa,"API Devlopment, Communication, Consulting Skills, Critical Thinking, Digital Marketing, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
Moxie,"Adaptability, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Web Development"
Musigma,"Artificial Intelligence & Machine Learning, Communication, Critical Thinking, Database Management, Problem-Solving, data analysis"
NCS,"Adaptability, Cloud Computing, Communication, Data Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration"
NICE Inc.,"API Devlopment, Adaptability, CRM Systems, Cloud Computing, Cybersecurity, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, UI/UX, Web Development"
NICE Systems,"API Devlopment, Cloud Computing, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Testing, Version Control, Web Development"
NTT Business Solutions (SAP),"Application Support, Cloud Computing, Problem-Solving, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration"
NTT Data,"Cloud Computing, Data Analytics, SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
Neal Analytics,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Data Analytics, Database Management, Problem-Solving"
Neilsoft,"Automotive Electronics, Embedded Systems, Hardware Mechatronics, PLC Programming, Problem-Solving, SCADA Systems"
Nihilent,"Adaptability, App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), System Design & Scalability, Testing, UI/UX, Web Development"
Northern Trust,"Adaptability, Cloud Computing, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration"
Numerator,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Web Development"
OFSS,"Communication, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing"
Oracle,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Database Management, SDLC (Agile DevOps CI/CD), Software Development"
Ordway Labs,"Critical Thinking, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
PTC Software,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
PWC,"Communication, Consulting Skills, Database Management, Financial Acumen, Problem-Solving, data analysis"
Palo Alto,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, Problem-Solving"
Paragyte,"API Devlopment, Adaptability, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Version Control, Web Development"
Paypal,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Database Management, Problem-Solving, Software Development"
Paytm Money,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Financial Acumen, Programming Languages (Java Python C++ JavaScript), Web Development"
Persistent,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Web Development"
Persistent Systems,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Web Development"
PharmEasy,"Artificial Intelligence & Machine Learning, Communication, Data Analytics, Healthcare Domain Knowledge, Problem-Solving, Supply Chain Technology"
PhonePe,"Adaptability, Application Support, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), System Administration, Teamwork & Collaboration"
PlanetSpark,"Communication, Critical Thinking, Digital Marketing, Marketing, Teamwork & Collaboration, Web Development"
Platform 9,"Artificial Intelligence & Machine Learning, Cloud Computing, Infrastructure Automation, Kubernetes, SDLC (Agile DevOps CI/CD), System Administration"
Platform9 Systems,"Cloud Computing, Cybersecurity, Infrastructure Automation, SDLC (Agile DevOps CI/CD), Software Development, System Administration"
Principal Global Services,"App Devlopment, Cloud Computing, Communication, Consulting Skills, Cybersecurity, Data Analytics, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), System Design & Scalability, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
Principal Global Solutions,"Cloud Computing, Communication, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD)"
Product Dossier,"Cloud Computing, Database Management, Project Management, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Promobi Technology,"API Devlopment, Adaptability, App Devlopment, Cloud Computing, Communication, Database Management, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, UI/UX, Version Control, Web Development"
PubMatic,"Cloud Computing, Critical Thinking, Data Analytics, Database Management, Digital Marketing, Web Development"
PubMatic India,"Cloud Computing, Communication, Data Analytics, Digital Marketing, Testing, Web Development"
Publicis Sapient,"Adaptability, Artificial Intelligence & Machine Learning, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Web Development"
Pubmatic (Drive2),"Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development"
Purplle.com,"Communication, Data Analytics, Database Management, Digital Marketing, Software Development, Web Development"
Qualys,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Database Management, Problem-Solving, Software Development"
Quantiphi,"Artificial Intelligence & Machine Learning, Cloud Computing, Critical Thinking, Data Analytics, Problem-Solving, Software Development"
Quantiphi Analytics,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Problem-Solving, Software Development"
Quorum Softwares,"API Devlopment, Adaptability, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, System Design & Scalability, Teamwork & Collaboration"
RBL Bank,"Adaptability, Communication, Financial Acumen, Marketing, Problem-Solving, Teamwork & Collaboration, data analysis"
RIA Advisory,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Consulting Skills, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, UI/UX, Web Development"
RIA Advisory LLP,"Communication, Consulting Skills, Data Analytics, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
RackWare,"Artificial Intelligence & Machine Learning, Cloud Computing, Infrastructure Automation, Storage Technology, System Administration"
RackWare Technologies,"API Devlopment, Adaptability, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, System Design & Scalability, Teamwork & Collaboration"
Raja Software Lab,"Critical Thinking, Programming Languages (Java Python C++ JavaScript), Software Development, Teamwork & Collaboration, Testing, Web Development"
Rakuten,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, Testing, Web Development"
Red Panda,"Artificial Intelligence & Machine Learning, Cloud Computing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Testing, Web Development"
Reflexis,"Adaptability, Communication, Problem-Solving, Software Development, Teamwork & Collaboration, Workforce Management Systems"
Relfor Lab,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), System Design & Scalability, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
Reliance,"Cloud Computing, Cybersecurity, Data Analytics, Problem-Solving, Software Development, Teamwork & Collaboration"
Reposenergy,"Cloud Computing, Data Analytics, Digital Marketing, Problem-Solving, Supply Chain Technology, Web Development"
Rinex,"Communication, Data Analytics, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD)"
Rocket Software,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, System Administration"
Rockwell Automation,"Adaptability, Automation testing, CI/CD, Communication, Critical Thinking, Problem-Solving, Programming Languages (Java Python C++ JavaScript), QA Methodologies, Teamwork & Collaboration"
Rockwell Automation (E),"Communication, Embedded Systems, PLC Programming, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SCADA Systems"
Rudder Analytics,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving"
Ryussi Technologies,"Cloud Computing, Database Management, Problem-Solving, Software Development, Storage Technology, System Administration"
SAS,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Data Analytics, Database Management, Problem-Solving"
SE2,"Cloud Computing, Data Analytics, Database Management, Financial Acumen, Problem-Solving"
STL,"Cloud Computing, Infrastructure Automation, Project Management, Software Development, System Administration, Telecommunication Systems"
Sagitec,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Salesforce,"API Development, Adaptability, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
Samsung Semiconductor,"Adaptability, Communication, Critical Thinking, Design Expertise, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration, semiconductor knowledge"
Sandvine,"Communication, Critical Thinking, Data Analytics, Database Management, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration, networking"
Sapient,"Blockchain, Cloud Computing, Data Analytics, Financial Acumen, Problem-Solving, Web Development"
Sasken,"Artificial Intelligence & Machine Learning, Automotive Electronics, Embedded Systems, Hardware Mechatronics, SDLC (Agile DevOps CI/CD), Telecommunication Systems"
Schlumberger,"Adaptability, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, Teamwork & Collaboration, Testing, Version Control"
Schlumberger (PWD Drive),"Digital Signal Processing, Embedded Systems, Hardware Mechatronics, PLC Programming, Problem-Solving, SCADA Systems"
Screen Magic,"Artificial Intelligence & Machine Learning, CRM Systems, Data Analytics, Digital Marketing, Marketing, Web Development"
Searce,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Infrastructure Automation, Software Development, System Administration"
Sedemac Mechatronics,"Automotive Electronics, Communication, Embedded Systems, Hardware Mechatronics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development"
Sell.Do (Beyondwalls),"Adaptability, Communication, Database Management, Problem-Solving, Software Development, Teamwork & Collaboration"
Sell.do,"CRM Systems, Cloud Computing, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
Shoreline,"Cloud Computing, Infrastructure Automation, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, System Administration"
Siemens,"Automotive Electronics, Embedded Systems, Hardware Mechatronics, PLC Programming, SCADA Systems"
Siemens Regular,"Automotive Electronics, Digital Signal Processing, Embedded Systems, PLC Programming, Robotics, SCADA Systems"
Sincro (CDK Global),"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Database Management, Digital Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development"
Sophos,"Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Data Analytics, Database Management, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development"
Sophos Technologies,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Infrastructure Automation, Problem-Solving, SDLC (Agile DevOps CI/CD)"
Source.One,"Communication, Database Management, Problem-Solving, Software Development, Supply Chain Technology, data analysis"
Suzlon,"Embedded Systems, Hardware Mechatronics, PLC Programming, Problem-Solving, SCADA Systems"
Swasthya AI,"Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Data Analytics, Database Management, Healthcare Domain Knowledge, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
Symbl.ai,"Artificial Intelligence & Machine Learning, Cloud Computing, Software Development, Web Development"
T Systems,"Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Software Development"
TCS Digital,"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing"
TCS Ninja,"Artificial Intelligence & Machine Learning, Database Management, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing"
TCS Prime,"Cloud Computing, Database Management, SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
TCS R&D,"Adaptability, Communication, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Teamwork & Collaboration, Technical Proficiency"
TCS R&I,"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Data Analytics, SDLC (Agile DevOps CI/CD), Software Development"
TIAA India,"Cloud Computing, Consulting Skills, Database Management, Financial Acumen, Problem-Solving, data analysis"
TIBCO,"Adaptability, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Object-Oriented Design (OOD), Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, UI/UX, system Integration"
Talentio,"Artificial Intelligence & Machine Learning, Communication, Consulting Skills, Digital Marketing, Web Development"
Tavisca Solutions,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Tech Prescient,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, System Design & Scalability, Teamwork & Collaboration"
Tech Verito,"Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
TechVerito,"Cloud Computing, SDLC (Agile DevOps CI/CD), Software Development, Testing, Web Development"
Tiaa India,"Cloud Computing, Consulting Skills, Database Management, Financial Acumen, Problem-Solving, data analysis"
Toshiba,"Adaptability, Communication, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development Methodologies, Teamwork & Collaboration"
Tracelink,"Cloud Computing, Communication, Database Management, Healthcare Domain Knowledge, Problem-Solving, Software Development"
Trading Technologies,"Adaptability, App Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Testing, UI/UX, Web Development"
Trilogy Innovations,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, Teamwork & Collaboration, Testing, Version Control"
Tripstack,"Cloud Computing, Database Management, Problem-Solving, SDLC (Agile DevOps CI/CD), Software Development, Web Development"
Turing,"Artificial Intelligence & Machine Learning, Cloud Computing, Critical Thinking, Software Development, Testing, Web Development"
Turtlemint,"Cloud Computing, Database Management, Financial Acumen, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
UBS,"Cloud Computing, Consulting Skills, Data Analytics, Database Management, Financial Acumen, Problem-Solving"
UPTIQ,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Teamwork & Collaboration, Testing, Version Control, Web Development"
Ubisoft,"Artificial Intelligence & Machine Learning, Database Management, Game Development, Problem-Solving, Software Development, Web Development"
Ugam,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Database Management, Digital Marketing, Problem-Solving"
Unschool,"Adaptability, Communication, Consulting Skills, Digital Marketing, Marketing, Problem-Solving"
Uolo.com,"Cloud Computing, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
UptiQ,"Adaptability, Automation testing, CI/CD, Communication, Critical Thinking, Programming Languages (Java Python C++ JavaScript), QA Methodologies, Teamwork & Collaboration, web technologies"
Valuefy,"API Devlopment, Cloud Computing, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Web Development"
Valuence Holdings,"Adaptability, Communication, Data Analytics, Digital Marketing, Marketing, Problem-Solving, Supply Chain Technology, Teamwork & Collaboration"
Varian Medical System,"Artificial Intelligence & Machine Learning, Embedded Systems, Hardware Mechatronics, Healthcare Domain Knowledge, Software Development"
Veras Retail,"Artificial Intelligence & Machine Learning, Communication, Data Analytics, Supply Chain Technology, Web Development"
Veritas,"Adaptability, Application Support, Communication, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), System Administration, Teamwork & Collaboration"
Veritas India,"Cloud Computing, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Storage Technology"
Veritas Technologies,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Consulting Skills, Cybersecurity, Data Analytics, Database Management, Payment Gateway Devlopment, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, Teamwork & Collaboration, Testing"
Vertical Fox,"Artificial Intelligence & Machine Learning, Cloud Computing, Data Analytics, Digital Marketing, Web Development"
Vertiv,"Cloud Computing, Embedded Systems, Infrastructure Automation, Project Management, Storage Technology, System Administration"
Visteon,"Adaptability, Automotive Electronics, Communication, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Software Development Methodologies, Teamwork & Collaboration"
Vodafone,"Adaptability, Application Support, Cloud Computing, Communication, Critical Thinking, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, System Administration, Teamwork & Collaboration, Telecommunication Systems"
Wednesday Solutions,"API Devlopment, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, UI/UX"
Winjit Technologies,"Artificial Intelligence & Machine Learning, Blockchain, Cybersecurity, Digital Signal Processing, Software Development, Testing"
WisdmLabs,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Data Analytics, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Software Development, System Design & Scalability, Teamwork & Collaboration"
Wissen Technology,"Artificial Intelligence & Machine Learning, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Software Development, Testing"
Xorient,"Artificial Intelligence & Machine Learning, Cloud Computing, Consulting Skills, Data Analytics, Financial Acumen"
Xpanxion,"API Devlopment, Adaptability, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Critical Thinking, Cybersecurity, Data Analytics, Object-Oriented Design (OOD), Problem-Solving, Programming Languages (Java Python C++ JavaScript), Risk Analysis, SDLC (Agile DevOps CI/CD), Software Development, Teamwork & Collaboration, Testing, UI/UX, Version Control, Web Development, system Integration"
Yahoo (Japan),"Artificial Intelligence & Machine Learning, Cloud Computing, Cybersecurity, Data Analytics, Testing, Web Development"
Yardi,"Cloud Computing, Communication, Critical Thinking, Database Management, Software Development, Web Development"
ZS Associates,"Communication, Consulting Skills, Critical Thinking, Data Analytics, Database Management, Healthcare Domain Knowledge, Problem-Solving, Programming Languages (Java Python C++ JavaScript)"
Zensar,"Adaptability, Cloud Computing, Communication, Cybersecurity, Database Management, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SAP"
Zinrelo,"Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Data Analytics, Web Development"
Zocdoc,"Adaptability, Communication, Data Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), System Administration, Teamwork & Collaboration"
bizAmica Software,"API Devlopment, Cloud Computing, Communication, Database Management, Programming Languages (Java Python C++ JavaScript), Project Management, Version Control, Web Development"
e-Emphasys,"CRM Systems, Consulting Skills, Data Analytics, Problem-Solving, Software Development"
e-Zest,"Artificial Intelligence & Machine Learning, Cloud Computing, Programming Languages (Java Python C++ JavaScript), Testing, Web Development"
eInfochip,"API Devlopment, Artificial Intelligence & Machine Learning, Cloud Computing, Communication, Consulting Skills, Critical Thinking, Cybersecurity, Embedded Systems, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, Teamwork & Collaboration, Testing, VLSI Design, Version Control"
eQ Technologies (QA),"Adaptability, Automation testing, CI/CD, Communication, Critical Thinking, Programming Languages (Java Python C++ JavaScript), QA Methodologies, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing, Web Development, web technologies"
eQ Technologies (SDE),"Artificial Intelligence & Machine Learning, Cloud Computing, Database Management, Programming Languages (Java Python C++ JavaScript), Software Development, Testing"
evosys global,"Adaptability, Artificial Intelligence & Machine Learning, CRM Systems, Cloud Computing, Communication, Consulting Skills, Cybersecurity, Data Analytics, Problem-Solving, Programming Languages (Java Python C++ JavaScript), Project Management, Risk Analysis, SDLC (Agile DevOps CI/CD), Teamwork & Collaboration, Testing"
iQ Digital,"Communication, Database Management, Digital Marketing, Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
oneXtel,"Artificial Intelligence & Machine Learning, Cloud Computing, Embedded Systems, SDLC (Agile DevOps CI/CD), Telecommunication Systems"
rtCamp,"API Devlopment, Database Management, SDLC (Agile DevOps CI/CD), Version Control, Web Development"
udChalo,"Cloud Computing, Database Management, Digital Marketing, Problem-Solving, Programming Languages (Java Python C++ JavaScript), SDLC (Agile DevOps CI/CD), Web Development"
